kelurahan_id,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,tanggal_kejadian,lama_genangan,jumlah_hilang,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,bulan_kejadian,terjadi_banjir,ketinggian_air_min,ketinggian_air_max
1,"01, 04",2,12,0,0, 02,0,0,0,0,1,1,20,30
1,"01, 02, 04",3,5,0,0," 01, 15",0,0,0,0,2,2,5,10
1,4,1,5,0,0," 26, 27",0,0,0,0,11,2,5,10
1,4,1,3,0,0," 4, 5, 6, 7, 8, 11, 13",0,0,0,0,12,7,3,10
5,"1, 4",2,3,0,0," 03, 04, 05, 18, 31",0,0,0,0,1,5,10,25
5,"01, 02, 03, 04, 05, 06, 07, 08, 09",9,2,0,0, 15,0,0,0,0,2,1,30,50
5,01,1,2,0,0, 17,0,0,0,0,5,1,20,20
5,1,1,2,0,0," 27, 28, 29",0,0,0,0,11,3,5,30
5,1,1,3,0,0," 4, 5, 6, 11, 12",0,0,0,0,12,5,6,10
7,1,1,2,0,0, 03,0,0,0,0,1,1,15,15
7,1,1,0,0,0," 15, 16",0,0,0,0,2,2,10,30
8,7,1,1,0,0, 03,0,0,0,0,1,1,20,20
10,"3, 4, 5, 6",4,2,0,0, 18,0,0,0,0,1,1,5,20
10,"04, 10",2,3,0,0, 15,0,0,0,0,2,1,15,30
10,1,1,1,0,0, 12,0,0,0,0,12,1,50,50
11,"02, 05, 06, 07, 09, 12, 13, 15, 16",9,21,0,0, 18,0,0,0,0,1,1,5,30
11,"01, 02, 03, 04, 05, 06, 07, 09, 10, 11, 12, 13, 15, 16",14,47,0,0," 15, 16",0,0,0,0,2,2,5,60
12,"01, 02",2,1,0,0, 18,0,0,0,0,1,1,15,20
12,"01, 02, 05, 11",4,15,0,0, 15,0,0,0,0,2,1,5,30
12,"03, 11",2,3,0,0, 29,0,0,0,0,10,1,20,30
12,"1, 2, 3, 4, 7, 8, 11",7,12,0,0, 12,0,0,0,0,12,1,15,60
13,"03, 04, 12, 13",4,12,0,0, 18,0,0,0,0,1,1,10,40
13,"03, 12, 13, 14, 16",5,39,0,0," 15, 16",0,0,0,0,2,2,10,80
13,3,1,1,0,0, 12,0,0,0,0,12,1,20,30
16,"05, 07, 08",3,7,0,0," 15, 16",0,0,0,0,2,2,10,35
